actor;personaje;pelicula
William Shatner;James T. Kirk;Star Trek: La película
Leonard Nimoy;Spock;Star Trek: La película
DeForest Kelley;Leonard McCoy;Star Trek: La película
James Doohan;Montgomery Scott;Star Trek: La película
Geoge Takei;Hikaru Sulu;Star Trek: La película
Walter Koenig;Pavel Chekov;Star Trek: La película
Nichelle Nichols;Uhura;Star Trek: La película
Majer Barrett;Christine Chapel;Star Trek: La película
Grace Lee Whitney;Janice Rand;Star Trek: La película
Persis Khambatta;Illia;Star Trek: La película
Stephen Collins;Willard Decker;Star Trek: La película
Mark Lenard;Klingon;Star Trek: La película
