Star Trek: La película;1979;132;Robert Wise
Star Trek II: La ira de Khan;1982;113;Nicholas Meyer
Star Trek III: En busca de Spock;1984;105;Leonard Nimoy
Star Trek IV: Misión: salvar la Tierra;1986;119;Leonard Nimoy
Star Trek V: La última frontera;1989;107;William Shatner
Star Trek VI: Aquel país desconocido;1991;113;Nicholas Meyer
Star Trek: La próxima generación;1994;118;David Carson
Star Trek: Primer contacto;1996;111;Jonathan Frakes
Star Trek: Insurrección;1998;103;Jonathan Frakes
Star Trek: Némesis;2002;116;Stuart Baird
Star Trek;2009;127;J.J. Abrams
Star Trek: En la oscuridad;2013;132;J.J. Abrams
Star Trek: Más allá;2016;122;Justin Lin
